domain,session_id,clip_number,hackathon_role,frozen_at,note
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,19,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,20,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,21,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,22,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,23,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,24,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,25,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,26,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,27,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,28,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,29,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,30,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,31,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,32,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,33,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,34,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,35,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,36,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,37,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,38,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,39,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,40,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,41,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,42,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,43,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,44,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,45,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,46,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,47,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,48,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,49,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,50,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,51,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,52,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,53,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,54,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,55,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,56,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,57,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,58,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,59,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,60,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PANAMA-ROJO-DRONE,61,dev,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,1,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,2,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,3,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,4,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,5,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,6,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,7,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,8,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,9,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,10,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,11,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,12,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,13,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,14,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,15,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,16,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,17,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,18,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,19,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,20,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,21,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,22,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,23,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,24,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,25,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,26,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,27,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,28,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,29,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,30,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,31,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,32,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,33,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,34,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,35,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,36,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,37,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,38,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,39,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,40,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,41,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,42,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,43,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,44,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,45,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,46,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,47,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,48,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,49,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,50,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,51,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,52,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,53,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,54,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,55,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,56,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,59,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,60,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,61,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,62,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
drone,2026-05-16_FRIENDLY-GER-vs-PUERTORICO-DRONE-WIDE,63,private_test,2026-09-02T07:47:04.380200+00:00,"plan 02.2-21, decision 2026-09-02: hackathon dev/private_test role split"
