index,season,competition_id,competition_name,competition_league,gender,game_id,game_type,game_group_id,game_group,half,summary,action_title,down,down_desc,down_after,down_after_desc,yards_to_go,yards_to_go_after,possession_time,home_team,away_team,home_score,away_score,stream_url,passer,receiver,rusher,tackle_player,interception_player,sack_player,play_result,penalty,safety,pass_depth,play_location,air_yards,yards_after_catch,drive_id,play_id,half_end,play_type,complete_pass,interception,touchdown,point_after,point_after_success,def_touchdown,one_point_conv_success,two_point_conv_success,defensive_two_point_conv,scoring_play,posteam,defteam,posteam_after,defteam_after,yardline_50,yardline_50_after,yards_gained,yards_to_go_simple,first_down,scoring_play_team,home_team_points,away_team_points,home_team_score,away_team_score,posteam_score,defteam_score,score_differential
11,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,#10 Saskia Stribrny Short middle pass incomplete to #4 Magdalena Helm for 0 yards to the JPN3,Pass incomplete,3,3rd,4,4th,13,13,5:01,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,,,,,,incomplete,0,0,Short,middle,0,0,2,11,0,pass,0,0,0,0,0,0,0,0,0,0,25,16,25,16,37,37,0,3,0,,,,7,0,0,7,-7
12,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short middle pass complete to #4 Magdalena Helm for 13 yards to the JPN0<strong>, touchdown</strong>. Time left 14:19",Touchdown,4,4th,1,1st,13,,5:01,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,4,,,,,complete,0,0,Short,middle,13,0,2,12,0,pass,1,0,1,0,0,0,0,0,0,1,25,16,25,16,37,50,13,3,0,25,,6,7,6,6,7,-1
13,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1," Austria, pass attempt, good",Touchdown,0,PAT 5 yards,1,1st,,,5:01,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,good,0,0,,,0,0,2,13,0,pass,0,0,0,1,1,0,1,0,0,1,25,16,16,25,50,50,0,0,0,25,,1,7,7,7,7,0
14,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#7 Yurika Omi Short middle pass complete to #9 Yuri Nakahata for 7 yards to the JPN12, #9 Yuri Nakahata run for 3 yards<em> to</em><em> JPN15</em><em> for a gain of</em><em> 10</em><em> yards</em>, tackled by #3 Bianca Peham",10 yard pass,1,1st,2,2nd,20,10,3:33,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,7,9,,3,,,complete,0,0,Short,middle,7,3,3,14,0,pass,1,0,0,0,0,0,0,0,0,0,16,25,16,25,5,15,10,4,0,,,,7,7,7,7,0
15,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#22 Tomoyo Yagi rush up middle for no gain, fumble at JPN15",Rush for no gain,2,2nd,3,3rd,10,10,3:33,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,22,,,,rush,0,0,,middle,0,0,3,15,0,rush,0,0,0,0,0,0,0,0,0,0,16,25,16,25,15,15,0,2,0,,,,7,7,7,7,0
16,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Chihiro Iwata Short left pass complete to #9 Yuri Nakahata for 14 yards to the AUT21, #9 Yuri Nakahata run for 2 yards<em> to</em><em> AUT19</em><em> for a gain of</em><em> 16</em><em> yards</em>, end of play<strong>. 1st down Japan</strong>",16 yard pass,3,3rd,1,1st,10,19,3:33,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,9,,,,,complete,0,0,Short,left,14,2,3,16,0,pass,1,0,0,0,0,0,0,0,0,0,16,25,16,25,15,31,16,2,1,,,,7,7,7,7,0
17,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#22 Tomoyo Yagi rush right for 14 yards, out of bounds",14 yard rush,1,1st,2,2nd,19,5,3:33,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,22,,,,rush,0,0,,right,0,0,3,17,0,rush,0,0,0,0,0,0,0,0,0,0,16,25,16,25,31,45,14,4,0,,,,7,7,7,7,0
18,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Chihiro Iwata Short middle pass complete to #22 Tomoyo Yagi for 5 yards to the AUT0<strong>, touchdown</strong>. Time left 10:46",Touchdown,2,2nd,1,1st,5,,3:33,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,22,,,,,complete,0,0,Short,middle,5,0,3,18,0,pass,1,0,1,0,0,0,0,0,0,1,16,25,16,25,45,50,5,1,0,16,6,,13,7,13,7,6
19,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1," Japan, pass attempt, good",Touchdown,0,PAT 5 yards,1,1st,,,3:33,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,good,0,0,,,0,0,3,19,0,pass,0,0,0,1,1,0,1,0,0,1,16,25,25,16,0,0,0,0,0,16,1,,14,7,14,7,7
20,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short middle pass complete to #6 Katrin Mansbart for 5 yards to the AUT10, #6 Katrin Mansbart run for 2 yards<em> to</em><em> AUT12</em><em> for a gain of</em><em> 7</em><em> yards</em>, tackled by #14 Akari Kitazaki",7 yard pass,1,1st,2,2nd,20,13,3:53,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,6,,14,,,complete,0,0,Short,middle,5,2,4,20,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,5,12,7,4,0,,,,14,7,7,14,-7
21,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short middle pass complete to #6 Katrin Mansbart for 10 yards to the AUT22, #6 Katrin Mansbart run for 2 yards<em> to</em><em> AUT24</em><em> for a gain of</em><em> 12</em><em> yards</em>, end of play",12 yard pass,2,2nd,3,3rd,13,1,3:53,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,6,,,,,complete,0,0,Short,middle,10,2,4,21,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,12,24,12,3,0,,,,14,7,7,14,-7
22,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short left pass complete to #4 Magdalena Helm for 11 yards to the JPN15, #4 Magdalena Helm run for 1 yards<em> to</em><em> JPN14</em><em> for a gain of</em><em> 12</em><em> yards</em>, tackled by #40 Renka Saito<strong>. 1st down Austria</strong>",12 yard pass,3,3rd,1,1st,1,14,3:53,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,4,,40,,,complete,0,0,Short,left,11,1,4,22,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,24,36,12,1,1,,,,14,7,7,14,-7
23,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short middle pass complete to #6 Katrin Mansbart for 5 yards to the JPN9, #6 Katrin Mansbart run for 2 yards<em> to</em><em> JPN7</em><em> for a gain of</em><em> 7</em><em> yards</em>, tackled by #1 Akari Uematsu",7 yard pass,1,1st,2,2nd,14,7,3:53,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,6,,1,,,complete,0,0,Short,middle,5,2,4,23,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,36,43,7,3,0,,,,14,7,7,14,-7
24,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short left pass complete to #4 Magdalena Helm for 5 yards to the JPN2, #4 Magdalena Helm run for 2 yards<strong>, touchdown</strong>. Time left 06:53",Touchdown,2,2nd,1,1st,7,,3:53,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,4,,,,,complete,0,0,Short,left,5,2,4,24,0,pass,1,0,1,0,0,0,0,0,0,1,25,16,25,16,43,50,7,2,0,25,,6,14,13,13,14,-1
25,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1," Austria, pass attempt, miss",Extra point attempt,0,PAT 5 yards,1,1st,,,3:53,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,miss,0,0,,,0,0,4,25,0,pass,0,0,0,1,0,0,0,0,0,0,25,16,16,25,50,50,0,0,0,,,,14,13,13,14,-1
26,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#22 Tomoyo Yagi Short right pass complete to #9 Yuri Nakahata for 6 yards to the JPN11, #9 Yuri Nakahata run for 1 yards<em> to</em><em> JPN12</em><em> for a gain of</em><em> 7</em><em> yards</em>, out of bounds",7 yard pass,1,1st,2,2nd,20,13,3:15,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,22,9,,,,,complete,0,0,Short,right,6,1,5,26,0,pass,1,0,0,0,0,0,0,0,0,0,16,25,16,25,5,12,7,4,0,,,,14,13,14,13,1
27,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#9 Yuri Nakahata Short middle pass complete to #22 Tomoyo Yagi for 6 yards to the JPN18, #22 Tomoyo Yagi run for 2 yards<em> to</em><em> JPN20</em><em> for a gain of</em><em> 8</em><em> yards</em>, tackled by #7 Annika Wendschlag",8 yard pass,2,2nd,3,3rd,13,5,3:15,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,9,22,,7,,,complete,0,0,Short,middle,6,2,5,27,0,pass,1,0,0,0,0,0,0,0,0,0,16,25,16,25,12,20,8,3,0,,,,14,13,14,13,1
28,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,#10 Chihiro Iwata Deep right pass incomplete to #2 Koyuki Morinaga,Pass incomplete,3,3rd,4,4th,5,5,3:15,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,,,,,,incomplete,0,0,Deep,right,0,0,5,28,0,pass,0,0,0,0,0,0,0,0,0,0,16,25,16,25,20,20,0,1,0,,,,14,13,14,13,1
29,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,#22 Tomoyo Yagi Short middle pass incomplete to #2 Koyuki Morinaga for 0 yards to the AUT22. Time left 03:38,Pass incomplete,4,4th,1,1st,5,20,3:15,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,22,,,,,,incomplete,0,0,Short,middle,0,0,5,29,0,pass,0,0,0,0,0,0,0,0,0,0,16,25,25,16,20,20,0,1,0,,,,14,13,14,13,1
30,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short middle pass complete to #1 Franzisca Tabitha Sottner for 5 yards to the AUT10, #1 Franzisca Tabitha Sottner run for 4 yards<em> to</em><em> AUT14</em><em> for a gain of</em><em> 9</em><em> yards</em>, tackled by #1 Akari Uematsu",9 yard pass,1,1st,2,2nd,20,11,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,1,,1,,,complete,0,0,Short,middle,5,4,6,30,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,5,14,9,4,0,,,,14,13,13,14,-1
31,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short right pass complete to #1 Franzisca Tabitha Sottner for 2 yards to the AUT16, #1 Franzisca Tabitha Sottner run for 2 yards<em> to</em><em> AUT18</em><em> for a gain of</em><em> 4</em><em> yards</em>, tackled by #14 Akari Kitazaki",4 yard pass,2,2nd,3,3rd,11,7,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,1,,14,,,complete,0,0,Short,right,2,2,6,31,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,14,18,4,3,0,,,,14,13,13,14,-1
32,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short left pass complete to #13 Anna Valenta for 2 yards to the AUT20, #13 Anna Valenta run for 4 yards<em> to</em><em> AUT24</em><em> for a gain of</em><em> 6</em><em> yards</em>, tackled by #21 Tomoko Higuchi",6 yard pass,3,3rd,4,4th,7,1,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,13,,21,,,complete,0,0,Short,left,2,4,6,32,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,18,24,6,2,0,,,,14,13,13,14,-1
33,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#16 Karoline Kugler rush up middle for 2 yards, tackled by #40 Renka Saito<strong>. 1st down Austria</strong>",2 yard rush,4,4th,1,1st,1,24,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,16,40,,,rush,0,0,,middle,0,0,6,33,0,rush,0,0,0,0,0,0,0,0,0,0,25,16,25,16,24,26,2,1,1,,,,14,13,13,14,-1
34,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,#10 Saskia Stribrny Short right pass incomplete to #16 Karoline Kugler for 0 yards to the JPN20,Pass incomplete,1,1st,2,2nd,24,24,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,,,,,,incomplete,0,0,Short,right,0,0,6,34,0,pass,0,0,0,0,0,0,0,0,0,0,25,16,25,16,26,26,0,5,0,,,,14,13,13,14,-1
35,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short left pass complete to #1 Franzisca Tabitha Sottner for 9 yards to the JPN15, #1 Franzisca Tabitha Sottner run for 1 yards<em> to</em><em> JPN14</em><em> for a gain of</em><em> 10</em><em> yards</em>, tackled by #1 Akari Uematsu",10 yard pass,2,2nd,3,3rd,24,14,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,1,,1,,,complete,0,0,Short,left,9,1,6,35,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,26,36,10,5,0,,,,14,13,13,14,-1
36,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,Japan timeout. Time left 01:46,Timeout Austria,3,3rd,3,3rd,14,0,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,timeout,0,0,,left,0,0,6,36,0,no_play,0,0,0,0,0,0,0,0,0,0,25,16,25,16,36,50,14,3,0,,,,14,13,13,14,-1
37,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short middle pass complete to #16 Karoline Kugler for 9 yards to the JPN5, #16 Karoline Kugler run for 4 yards<em> to</em><em> JPN1</em><em> for a gain of</em><em> 13</em><em> yards</em>, tackled by #21 Tomoko Higuchi<strong>, penalty</strong> Japan Illegal contact defense, 0 yard penalty to JPN1<strong>. 1st down Austria</strong>",13 yard pass,3,3rd,1,1st,14,1,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,16,,21,,,complete,1,0,Short,middle,9,4,6,37,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,36,49,13,3,0,,,,14,13,13,14,-1
38,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,#10 Saskia Stribrny Short middle pass incomplete to #13 Anna Valenta,Pass incomplete,1,1st,2,2nd,1,1,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,,,,,,incomplete,0,0,Short,middle,0,0,6,38,0,pass,0,0,0,0,0,0,0,0,0,0,25,16,25,16,49,49,0,1,0,,,,14,13,13,14,-1
39,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,#10 Saskia Stribrny Short middle pass incomplete to #1 Franzisca Tabitha Sottner,Pass incomplete,2,2nd,3,3rd,1,1,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,,,,,,incomplete,0,0,Short,middle,0,0,6,39,0,pass,0,0,0,0,0,0,0,0,0,0,25,16,25,16,49,49,0,1,0,,,,14,13,13,14,-1
40,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short middle pass complete to #6 Katrin Mansbart for 1 yards to the JPN0<strong>, touchdown</strong>. Time left 01:28",Touchdown,3,3rd,1,1st,1,,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,6,,,,,complete,0,0,Short,middle,1,0,6,40,0,pass,1,0,1,0,0,0,0,0,0,1,25,16,25,16,49,50,1,1,0,25,,6,14,19,19,14,5
41,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1," Austria, pass attempt, miss",Extra point attempt,0,PAT 5 yards,1,1st,,,0:18,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,miss,0,0,,,0,0,6,41,0,pass,0,0,0,1,0,0,0,0,0,0,25,16,16,25,50,50,0,0,0,,,,14,19,19,14,5
42,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Chihiro Iwata Deep right pass complete to #7 Yurika Omi for 17 yards to the JPN22, #7 Yurika Omi run for 12 yards<em> to</em><em> AUT16</em><em> for a gain of</em><em> 29</em><em> yards</em>, out of bounds<strong>. 1st down Japan</strong>",29 yard pass,1,1st,1,1st,20,16,0:07,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,7,,,,,complete,0,0,Deep,right,17,12,7,42,0,pass,1,0,0,0,0,0,0,0,0,0,16,25,16,25,5,34,29,4,1,,,,14,19,14,19,-5
43,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#9 Yuri Nakahata rush right for 13 yards, tackled by #17 Sophie Spitzer<strong>, penalty</strong> Japan Offensive shielding, NO PLAY",-5 yard rush,1,1st,1,1st,16,21,0:07,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,9,17,,,rush,1,0,,right,0,0,7,43,0,rush,0,0,0,0,0,0,0,0,0,0,16,25,16,25,34,29,-5,4,0,,,,14,19,14,19,-5
44,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Chihiro Iwata Short right pass complete to #9 Yuri Nakahata for 2 yards to the AUT19, #9 Yuri Nakahata run for 2 yards<em> to</em><em> AUT17</em><em> for a gain of</em><em> 4</em><em> yards</em>, tackled by #8 Daniela Hader",4 yard pass,1,1st,2,2nd,21,17,0:07,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,9,,8,,,complete,0,0,Short,right,2,2,7,44,0,pass,1,0,0,0,0,0,0,0,0,0,16,25,16,25,29,33,4,5,0,,,,14,19,14,19,-5
45,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,Austria timeout. Time left 01:06,Timeout Japan,2,2nd,2,2nd,17,50,0:07,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,timeout,0,0,,left,0,0,7,45,0,no_play,0,0,0,0,0,0,0,0,0,0,16,25,16,25,33,0,-33,4,0,,,,14,19,14,19,-5
46,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Chihiro Iwata Deep left pass complete to #88 Fuyuki Hamaguchi for 17 yards to the AUT0<strong>, touchdown</strong><strong>, penalty</strong> Japan Illegal contact defense, 10 yard penalty to JPN23, loss of down",-10 yard pass,2,2nd,3,3rd,17,27,0:07,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,88,,,,,complete,1,0,Deep,left,17,0,7,46,0,pass,1,0,0,0,0,0,0,0,0,0,16,25,16,25,33,23,-10,4,0,,,,14,19,14,19,-5
47,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Chihiro Iwata Short left pass complete to #22 Tomoyo Yagi for 7 yards to the AUT20, #22 Tomoyo Yagi run for 3 yards<em> to</em><em> AUT17</em><em> for a gain of</em><em> 10</em><em> yards</em>, tackled by #17 Sophie Spitzer",10 yard pass,3,3rd,4,4th,27,17,0:07,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,22,,17,,,complete,0,0,Short,left,7,3,7,47,0,pass,1,0,0,0,0,0,0,0,0,0,16,25,16,25,23,33,10,5,0,,,,14,19,14,19,-5
48,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,Austria timeout. Time left 00:34,Timeout Japan,4,4th,4,4th,17,20,0:07,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,timeout,0,0,,left,0,0,7,48,0,no_play,0,0,0,0,0,0,0,0,0,0,16,25,16,25,33,0,-33,4,0,,,,14,19,14,19,-5
49,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,#10 Chihiro Iwata Short right pass incomplete to #22 Tomoyo Yagi. Time left 00:27,Pass incomplete,4,4th,1,1st,17,20,0:07,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,,,,,,incomplete,0,0,Short,right,0,0,7,49,0,pass,0,0,0,0,0,0,0,0,0,0,16,25,25,16,33,33,0,4,0,,,,14,19,14,19,-5
50,2024,2,FlagWC,World cup,2,1101,Playoffs,104,3-4,1,"#10 Saskia Stribrny Short middle pass complete to #4 Magdalena Helm for 10 yards to the AUT15, #4 Magdalena Helm run for 4 yards<em> to</em><em> AUT19</em><em> for a gain of</em><em> 14</em><em> yards</em>, tackled by #5 Asahi Kanatani",14 yard pass,1,1st,2,2nd,20,6,0:27,16,25,41,40,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,10,4,,5,,,complete,0,0,Short,middle,10,4,8,50,0,pass,1,0,0,0,0,0,0,0,0,0,25,16,25,16,5,19,14,4,0,,,,14,19,19,14,5
